timestamp,download,upload
2019-08-11 15:35:01,510777246.6687,511615591.039313
2019-08-11 19:07:01,808392718.905464,808928839.639464
2019-08-11 18:21:02,801240101.441389,801659617.502972
2019-08-11 15:21:01,792550832.473145,792924771.1695
2019-08-11 18:28:01,820533108.130026,821091778.787716
2019-08-11 16:42:01,823257501.242513,823787597.35456
2019-08-12 01:28:01,815977636.757412,816558000.69342
2019-08-11 16:35:01,426843122.038727,427326186.032547
2019-08-12 00:35:01,301847187.291625,302642832.550509
2019-08-12 05:35:01,548703049.348756,549248432.487248
2019-08-11 05:00:01,514873711.854773,515435793.549129
2019-08-11 04:42:01,825539197.559123,826149470.265021
2019-08-11 09:42:01,812887196.637974,813407318.01297
2019-08-11 06:35:02,426194208.078813,426877696.565368
2019-08-11 18:49:02,808847043.057685,809476213.742026
2019-08-12 04:42:01,811960197.160799,812579862.222882
2019-08-11 02:14:02,817517677.319299,818243172.160517
2019-08-11 21:56:01,749807235.195912,750170980.574509
2019-08-11 02:35:01,327887751.806687,328448760.564625
2019-08-11 23:14:01,801196459.576614,801625198.961673
2019-08-11 14:35:01,379376220.398017,380239320.838572
2019-08-11 22:49:01,818919391.004037,819322427.867881
2019-08-11 21:28:01,804112897.820501,804803284.15416
2019-08-11 09:14:01,812457214.52654,813183036.885556
2019-08-11 00:21:01,809438126.103762,809929223.792783
2019-08-12 05:28:01,811693330.3433,812231829.013334
2019-08-11 13:35:02,438608909.93699,439007029.222194
2019-08-12 07:35:01,388421093.840832,389186259.634344
2019-08-11 04:21:01,816854729.581704,817472539.872105
2019-08-12 00:21:02,809396881.648241,809686514.584139
2019-08-11 04:14:02,811403544.662374,811822834.555493
2019-08-11 01:07:01,817688193.756595,818401987.717185
2019-08-11 19:00:01,343081973.030262,343822901.222609
2019-08-12 00:28:01,815560103.367653,816109249.76399
2019-08-11 02:07:01,811371389.76701,811966217.781923
2019-08-11 11:21:02,799644482.717348,800093850.628454
2019-08-12 01:49:01,816660026.390531,817292987.170198
2019-08-12 00:14:01,821894324.873272,822261688.213958
2019-08-12 06:49:01,810200219.784147,810487855.324419
2019-08-12 04:56:01,800646752.414918,801256084.077651
2019-08-11 00:56:01,795776367.116495,796265027.677472
2019-08-12 00:42:01,814280969.348646,814866138.51818
2019-08-11 04:28:01,818957911.063997,819453057.351065
2019-08-11 07:49:02,810729889.825068,811428377.841809
2019-08-12 00:07:01,794749531.440445,795299749.037916
2019-08-12 07:49:01,817928694.149957,818464284.440025
2019-08-11 15:28:02,825631298.208516,825971569.248472
2019-08-12 02:35:01,453636417.694886,454151873.106143
2019-08-11 22:35:01,595975602.882284,596781869.710098
2019-08-11 08:49:01,822917308.108337,823566813.067481
2019-08-12 06:42:01,810167327.332044,810807601.240268
2019-08-11 04:49:02,810969714.923095,811419777.756921
2019-08-11 12:35:01,247035987.021931,247662884.752648
2019-08-11 10:07:02,816491947.559441,817028716.044844
2019-08-12 01:35:01,468091289.716145,468492596.625558
2019-08-11 20:14:01,815626445.212396,816177787.406651
2019-08-12 04:49:01,804904231.902753,805421502.653566
2019-08-11 20:49:01,799932897.605067,800383627.749587
2019-08-11 05:28:02,824572834.020974,825116938.252763
2019-08-12 02:14:01,816735655.910378,817367884.10653
2019-08-11 07:56:01,759052489.895082,759526660.515159
2019-08-12 05:07:01,812465542.299444,813197526.656263
2019-08-12 00:56:01,753654647.310498,754058459.022024
2019-08-11 15:00:01,394540804.954232,395211742.084506
2019-08-11 23:56:01,771431535.935145,771914626.530327
2019-08-11 00:07:02,817875419.276335,818324579.901371
2019-08-12 03:42:01,813824516.392944,814184924.861348
2019-08-12 05:21:02,791988884.104873,792422476.306119
2019-08-11 08:14:01,808842091.70943,809279595.372354
2019-08-11 05:42:01,818890166.231789,819514361.872301
2019-08-11 21:42:02,818902096.028271,819563824.62468
2019-08-11 05:14:01,821409850.450256,821830961.143658
2019-08-11 10:21:01,825575236.222996,826058577.633018
2019-08-11 20:00:01,583610365.732257,584085354.567823
2019-08-11 01:00:01,438262479.019569,439002052.202906
2019-08-12 04:00:01,417663901.232811,418346169.18068
2019-08-12 03:56:01,767479353.593585,767908603.277501
2019-08-12 06:00:01,234511085.113714,235233235.361352
2019-08-11 16:07:01,804951663.353959,805505784.164155
2019-08-11 22:07:01,824745361.74506,825169277.865143
2019-08-12 05:00:01,465585842.306797,466392199.754184
2019-08-11 22:14:01,827588733.818051,828212445.553237
2019-08-11 09:07:02,797646024.913281,798211664.457623
2019-08-11 21:35:01,540782601.650182,541438174.325168
2019-08-11 10:00:02,435205438.902651,435972102.894126
2019-08-11 12:14:01,804982544.864867,805658088.384946
2019-08-11 13:21:01,813935550.69416,814457318.116514
2019-08-11 11:49:02,814905673.323619,815596173.036331
2019-08-11 15:49:01,821067222.928257,821565156.382374
2019-08-11 13:28:02,819924352.613928,820441133.532905
2019-08-11 08:56:01,817874654.082613,818361137.230065
2019-08-11 11:14:01,803406517.694471,803900948.389472
2019-08-11 12:00:01,359219567.982218,359984172.530535
2019-08-11 12:21:01,773355455.904111,773689333.806509
2019-08-11 23:28:02,819246456.678249,819761903.081183
2019-08-12 03:14:01,810815814.770611,811251940.654606
2019-08-11 22:56:01,806392761.63049,806854583.40222
2019-08-12 03:35:01,547732212.077157,548435441.371995
2019-08-11 06:07:02,808200646.416194,808690621.801623
2019-08-11 11:56:02,813027921.146686,813551798.586212
2019-08-11 23:07:01,786251920.416491,786990360.067104
2019-08-11 10:56:01,793507820.502822,793920721.250167
2019-08-11 19:56:01,746029315.704335,746724217.93459
2019-08-11 15:42:01,820454694.877753,821081512.508581
2019-08-12 07:07:01,806305593.018104,806894921.576399
2019-08-11 05:07:01,819752566.51689,820427481.84662
2019-08-12 05:42:01,817432778.147905,817864765.098528
2019-08-11 05:21:01,809461320.651571,810202506.678121
2019-08-11 17:42:02,823777110.104512,824376398.007569
2019-08-11 03:42:01,815039265.196996,815444923.106974
2019-08-12 07:28:01,820114069.016978,820648459.892227
2019-08-11 14:28:01,821985673.991065,822629812.997403
2019-08-11 10:42:01,817516507.570691,818167788.955225
2019-08-11 00:00:01,353332360.197648,353861245.644025
2019-08-11 18:42:01,821127258.132733,821700068.370526
2019-08-12 02:21:01,807982895.094872,808517225.164671
2019-08-11 22:21:02,815528578.239916,816014120.770555
2019-08-11 21:07:02,809012156.682729,809578561.722663
2019-08-11 20:21:02,811145500.850888,811600414.436139
2019-08-11 19:35:01,382694456.653141,383298608.649035
2019-08-11 12:28:01,812978616.181417,813631001.432515
2019-08-11 15:07:01,818343183.640562,818879462.492927
2019-08-11 17:21:01,790862307.889222,791486387.426338
2019-08-11 05:56:01,797003484.692791,797571802.08222
2019-08-11 09:49:01,821551014.727807,822067151.34812
2019-08-11 13:14:01,812237654.35078,812899072.678076
2019-08-11 04:35:01,517669461.482266,518370123.640471
2019-08-12 01:42:02,810346587.824259,810977762.880211
2019-08-11 08:21:01,747817264.929825,748272727.618167
